# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: E:\5th_sem\DSD\Processor\processor.csv
# Generated on: Mon Oct 16 09:31:15 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ALUResult[31],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
ALUResult[30],Output,PIN_F17,7,B7_N2,PIN_U21,2.5 V,,,,,
ALUResult[29],Output,PIN_U21,5,B5_N0,PIN_AA26,2.5 V,,,,,
ALUResult[28],Output,PIN_AA26,5,B5_N1,PIN_Y22,2.5 V,,,,,
ALUResult[27],Output,PIN_Y22,5,B5_N0,PIN_G18,2.5 V,,,,,
ALUResult[26],Output,PIN_G18,7,B7_N2,PIN_H15,2.5 V,,,,,
ALUResult[25],Output,PIN_H15,7,B7_N2,PIN_G16,2.5 V,,,,,
ALUResult[24],Output,PIN_G16,7,B7_N2,PIN_G15,2.5 V,,,,,
ALUResult[23],Output,PIN_G15,7,B7_N2,PIN_F15,2.5 V,,,,,
ALUResult[22],Output,PIN_F15,7,B7_N2,PIN_H17,2.5 V,,,,,
ALUResult[21],Output,PIN_H17,7,B7_N2,PIN_J16,2.5 V,,,,,
ALUResult[20],Output,PIN_J16,7,B7_N2,PIN_H16,2.5 V,,,,,
ALUResult[19],Output,PIN_H16,7,B7_N2,PIN_J15,2.5 V,,,,,
ALUResult[18],Output,PIN_J15,7,B7_N2,PIN_G17,2.5 V,,,,,
